,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lensk,60.7253,114.9278,66.36,89,90,1.81,RU,1659032892
1,new norfolk,-42.7826,147.0587,42.3,84,33,1.99,AU,1659032892
2,lebu,-37.6167,-73.65,53.71,72,0,12.44,CL,1659032892
3,juba,4.8517,31.5825,71.82,84,62,2.64,SS,1659032893
4,kapaa,22.0752,-159.319,79.48,80,75,10.36,US,1659032893
5,barrow,71.2906,-156.7887,33.24,98,100,13.24,US,1659032893
6,yellowknife,62.456,-114.3525,64.92,68,100,9.22,CA,1659032894
7,atuona,-9.8,-139.0333,76.77,76,39,24.18,PF,1659032894
8,marsabit,2.3284,37.9899,68.59,52,77,21.32,KE,1659032894
9,dikson,73.5069,80.5464,44.8,100,100,18.05,RU,1659032895
10,ushuaia,-54.8,-68.3,46.06,57,0,13.8,AR,1659032895
11,punta arenas,-53.15,-70.9167,42.91,87,75,28.77,CL,1659032816
12,ancud,-41.8697,-73.8203,47.32,81,99,5.44,CL,1659032895
13,uyuni,-20.4597,-66.825,57.74,18,11,11.7,BO,1659032896
14,ribeira grande,38.5167,-28.7,77.4,69,75,4.61,PT,1659032896
15,bredasdorp,-34.5322,20.0403,53.78,72,0,4.5,ZA,1659032896
16,kabardinka,44.6514,37.9428,75.29,68,41,4.41,RU,1659032897
17,busselton,-33.65,115.3333,61.74,85,36,18.9,AU,1659032897
18,inuvik,68.3499,-133.7218,50.76,87,75,6.91,CA,1659032897
19,aklavik,68.2191,-135.0107,50.0,87,100,2.3,CA,1659032897
20,hohhot,40.8106,111.6522,71.89,49,0,11.18,CN,1659032898
21,avarua,-21.2078,-159.775,75.25,83,75,24.16,CK,1659032898
22,rikitea,-23.1203,-134.9692,73.27,72,2,21.0,PF,1659032898
23,nanortalik,60.1432,-45.2371,45.37,79,13,6.82,GL,1659032898
24,kuytun,54.3419,101.5036,57.07,82,96,2.04,RU,1659032899
25,bambous virieux,-20.3428,57.7575,70.05,78,20,10.36,MU,1659032899
26,mar del plata,-38.0023,-57.5575,50.09,95,100,20.0,AR,1659032900
27,shache,38.4167,77.2406,91.74,17,67,6.87,CN,1659032900
28,cherskiy,68.75,161.3,48.15,61,14,4.59,RU,1659032901
29,doka,13.5167,35.7667,73.6,87,100,1.43,SD,1659032901
30,high level,58.5169,-117.136,78.91,61,75,4.61,CA,1659032901
31,medias,46.1667,24.35,73.29,70,95,6.55,RO,1659032902
32,tateyama,34.9833,139.8667,81.1,89,87,10.31,JP,1659032902
33,maniitsoq,65.4167,-52.9,41.5,86,97,1.03,GL,1659032903
34,chuy,-33.6971,-53.4616,52.77,90,100,15.23,UY,1659032903
35,pevek,69.7008,170.3133,40.12,76,80,2.26,RU,1659032903
36,xambioa,-6.4111,-48.5364,99.05,20,4,2.55,BR,1659032904
37,saint george,37.1041,-113.5841,91.44,44,0,5.75,US,1659032904
38,hermanus,-34.4187,19.2345,49.8,73,0,6.42,ZA,1659032904
39,cayenne,4.9333,-52.3333,89.64,15,75,6.91,GF,1659032755
40,bandar,2.05,99.75,74.66,90,99,2.21,ID,1659032890
41,khanpur,28.6453,70.6567,91.76,59,100,10.42,PK,1659032904
